Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Spend_Score,Spend_Binary
33-264-2822,38,Male,High,Divorced,Bachelor's,Middle,Toys & Games,371.32,7,In-Store,4,4,0.7,Medium,Not Sensitive,2,1,None,Tablet,Debit Card,2/25/2024,True,True,Impulsive,Standard,6,2599.24,Not_High
95-478-2650,37,Female,Middle,Single,Bachelor's,Middle,Software & Apps,461.0,7,Online,2,4,1.0,High,Not Sensitive,0,8,Low,Tablet,Cash,7/10/24,False,True,Wants-based,Standard,9,3227.0,High
04-349-6759,33,Female,High,Married,Bachelor's,High,Food & Beverages,253.37,6,In-Store,4,1,1.0,None,Very Sensitive,2,10,High,Tablet,Other,12/25/2024,True,False,Impulsive,Standard,8,1520.22,Not_High
21-755-8745,37,Male,High,Widowed,High School,High,Packages),136.53,3,Mixed,2,4,2.0,High,Not Sensitive,1,3,High,Smartphone,PayPal,5/31/2024,True,True,Planned,Standard,10,409.59000000000003,Not_High
29-625-7057,31,Female,Middle,Single,Master's,Middle,Arts & Crafts,489.05,10,Online,5,3,0.0,High,Somewhat Sensitive,2,2,High,Desktop,PayPal,9/4/24,True,True,Planned,Standard,7,4890.5,High
58-623-8404,50,Male,High,Single,Master's,High,Electronics,81.91,10,In-Store,3,4,1.0,Medium,Very Sensitive,0,4,None,Desktop,Debit Card,7/24/2024,False,True,Need-based,Express,2,819.0999999999999,Not_High
56-506-4709,50,Male,Middle,Married,Bachelor's,Middle,Arts & Crafts,135.8,2,In-Store,2,5,1.0,Low,Somewhat Sensitive,1,2,High,Desktop,Debit Card,11/16/2024,False,True,Planned,No Preference,9,271.6,Not_High
25-839-8670,45,Female,Middle,Widowed,High School,Middle,Health Supplements,382.24,12,In-Store,1,5,1.0,High,Very Sensitive,1,4,High,Tablet,PayPal,7/6/24,True,True,Planned,Standard,3,4586.88,High
89-194-0596,33,Female,High,Married,Bachelor's,Middle,Gardening & Outdoors,354.7,5,Online,4,2,0.0,None,Very Sensitive,2,7,None,Smartphone,Other,2/10/24,True,False,Planned,Express,12,1773.5,Not_High
55-163-1389,24,Male,High,Divorced,Bachelor's,High,Mobile Accessories,433.82,6,Online,3,2,1.0,Medium,Somewhat Sensitive,0,8,Medium,Desktop,Other,6/29/2024,False,True,Planned,Express,10,2602.92,Not_High
28-225-4286,39,Genderfluid,High,Married,Bachelor's,Middle,Mobile Accessories,282.13,5,Mixed,4,5,1.0,None,Somewhat Sensitive,1,2,None,Tablet,Other,1/26/2024,True,False,Need-based,Standard,9,1410.65,Not_High
14-305-8712,48,Male,High,Widowed,High School,Middle,Mobile Accessories,454.38,10,Online,3,4,0.0,None,Somewhat Sensitive,0,10,Medium,Smartphone,PayPal,6/15/2024,True,False,Impulsive,No Preference,7,4543.8,High
85-738-6864,25,Male,Middle,Married,High School,High,Mobile Accessories,138.88,7,In-Store,2,4,1.0,None,Not Sensitive,1,3,None,Tablet,Cash,6/8/24,True,False,Planned,No Preference,4,972.16,Not_High
17-198-5155,30,Female,High,Single,Bachelor's,High,Books,52.34,6,In-Store,3,4,1.0,Low,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,5/21/2024,True,True,Planned,Express,13,314.04,Not_High
15-354-9904,34,Male,Middle,Single,Bachelor's,High,Groceries,338.2,7,Online,3,5,0.0,None,Not Sensitive,1,9,Medium,Tablet,Other,9/1/24,True,False,Wants-based,Standard,7,2367.4,Not_High
35-198-9248,21,Female,Middle,Widowed,High School,Middle,Toys & Games,263.15,3,In-Store,1,5,1.0,High,Somewhat Sensitive,1,10,High,Tablet,Other,3/4/24,True,False,Impulsive,Express,10,789.4499999999999,Not_High
03-950-6074,36,Female,Middle,Married,Master's,Middle,Software & Apps,371.58,2,Mixed,2,1,2.0,High,Not Sensitive,0,10,None,Smartphone,Cash,9/13/2024,True,True,Wants-based,No Preference,11,743.16,Not_High
19-999-0134,30,Male,Middle,Widowed,Bachelor's,Middle,Health Care,353.4,2,Online,2,3,2.0,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,12/6/24,False,True,Impulsive,No Preference,3,706.8,Not_High
57-989-1487,46,Female,Middle,Divorced,High School,High,Software & Apps,329.41,5,In-Store,5,3,0.0,Medium,Somewhat Sensitive,1,1,High,Desktop,Cash,10/21/2024,True,True,Need-based,No Preference,2,1647.0500000000002,Not_High
07-816-2673,46,Female,Middle,Married,Master's,Middle,Food & Beverages,54.46,5,Online,4,5,1.0,High,Not Sensitive,1,1,Low,Tablet,Other,11/17/2024,False,False,Impulsive,Standard,1,272.3,Not_High
70-761-3550,43,Male,High,Widowed,Master's,Middle,Books,257.12,8,Online,2,1,0.0,High,Not Sensitive,2,1,High,Smartphone,Other,7/24/2024,True,False,Impulsive,No Preference,11,2056.96,Not_High
38-242-3251,43,Male,High,Divorced,Bachelor's,Middle,Arts & Crafts,293.04,11,In-Store,4,2,1.0,None,Very Sensitive,1,3,Low,Desktop,PayPal,3/3/24,True,False,Planned,Standard,6,3223.44,High
95-525-0842,34,Male,High,Single,Master's,High,Books,110.4,12,Mixed,5,1,2.0,None,Somewhat Sensitive,1,3,Medium,Tablet,Debit Card,11/13/2024,False,False,Need-based,Standard,12,1324.8000000000002,Not_High
37-101-4922,42,Female,Middle,Married,Master's,High,Mobile Accessories,76.27,4,In-Store,2,3,0.0,None,Not Sensitive,0,8,Medium,Smartphone,Credit Card,12/24/2024,True,False,Wants-based,Standard,10,305.08,Not_High
37-128-5425,40,Female,High,Widowed,Bachelor's,Middle,Toys & Games,392.08,6,Online,2,5,1.0,None,Very Sensitive,2,7,High,Tablet,Other,8/4/24,True,True,Need-based,Express,6,2352.48,Not_High
27-439-9545,25,Female,High,Married,Bachelor's,High,Toys & Games,51.22,6,Online,2,1,0.0,None,Very Sensitive,1,5,Medium,Tablet,Cash,8/25/2024,True,True,Planned,Standard,5,307.32,Not_High
37-126-7954,38,Male,Middle,Divorced,Bachelor's,High,Clothing,227.57,2,Online,1,2,0.0,High,Somewhat Sensitive,1,6,None,Tablet,PayPal,8/17/2024,False,True,Wants-based,No Preference,14,455.14,Not_High
82-990-0504,46,Female,Middle,Widowed,Bachelor's,Middle,Groceries,378.87,7,Online,1,2,0.0,None,Very Sensitive,1,2,Low,Tablet,PayPal,4/1/24,True,False,Planned,No Preference,5,2652.09,Not_High
21-734-0212,24,Female,Middle,Widowed,High School,High,Beauty & Personal Care,423.92,8,Mixed,3,1,2.0,Low,Somewhat Sensitive,0,9,High,Tablet,Credit Card,8/24/2024,False,True,Need-based,Standard,8,3391.36,High
76-148-9413,43,Non-binary,High,Widowed,Master's,Middle,Arts & Crafts,111.24,9,Mixed,5,2,0.0,Medium,Somewhat Sensitive,0,2,High,Smartphone,Credit Card,8/6/24,True,False,Need-based,No Preference,12,1001.16,Not_High
53-639-3774,37,Female,Middle,Single,Bachelor's,Middle,Travel & Leisure (Flights,299.31,7,Mixed,2,4,1.0,Medium,Very Sensitive,2,3,None,Desktop,Debit Card,2/1/24,True,False,Need-based,Express,3,2095.17,Not_High
20-817-9584,42,Male,Middle,Widowed,Master's,Middle,Animal Feed,169.28,7,Mixed,4,4,1.0,None,Somewhat Sensitive,2,1,Low,Tablet,Cash,6/17/2024,True,True,Impulsive,No Preference,6,1184.96,Not_High
18-655-3670,29,Male,Middle,Widowed,High School,High,Office Supplies,449.13,9,In-Store,2,1,0.5,Medium,Not Sensitive,2,2,Low,Tablet,Credit Card,6/12/24,False,False,Planned,No Preference,14,4042.17,High
72-431-5021,35,Female,High,Married,Master's,High,Animal Feed,427.48,6,Online,4,2,0.0,Medium,Not Sensitive,1,1,Low,Smartphone,Debit Card,12/16/2024,True,False,Impulsive,Standard,11,2564.88,Not_High
07-479-3919,27,Female,Middle,Single,High School,High,Sports & Outdoors,171.61,3,Online,3,1,2.0,Low,Very Sensitive,1,6,High,Desktop,Credit Card,10/31/2024,True,False,Planned,Express,8,514.83,Not_High
17-032-6274,40,Female,High,Married,Bachelor's,High,Books,240.28,3,Online,3,5,2.0,High,Not Sensitive,2,7,Medium,Tablet,Cash,12/7/24,True,True,Impulsive,Standard,4,720.84,Not_High
64-166-9097,34,Female,High,Single,High School,High,Furniture,310.17,6,In-Store,2,3,2.0,Medium,Very Sensitive,0,10,None,Smartphone,Debit Card,2/24/2024,False,False,Wants-based,No Preference,13,1861.02,Not_High
39-499-3854,25,Female,Middle,Married,Bachelor's,Middle,Hotels,166.0,10,Online,5,3,0.0,High,Not Sensitive,2,10,Medium,Smartphone,PayPal,6/11/24,False,False,Impulsive,Express,5,1660.0,Not_High
39-636-5871,38,Male,High,Divorced,Bachelor's,High,Baby Products,362.01,2,In-Store,2,4,1.0,None,Somewhat Sensitive,2,1,Medium,Tablet,Debit Card,11/24/2024,False,False,Impulsive,Express,1,724.02,Not_High
71-667-2334,33,Polygender,High,Married,Bachelor's,Middle,Travel & Leisure (Flights,348.5,3,Mixed,2,3,2.0,None,Not Sensitive,0,6,Medium,Smartphone,Debit Card,7/9/24,False,False,Planned,No Preference,8,1045.5,Not_High
35-192-9050,32,Female,Middle,Married,Bachelor's,High,Animal Feed,395.97,9,In-Store,1,4,0.0,Medium,Very Sensitive,1,6,Low,Tablet,Debit Card,8/18/2024,True,True,Wants-based,Standard,1,3563.7300000000005,High
91-440-0011,50,Female,Middle,Widowed,High School,Middle,Sports & Outdoors,474.99,9,Online,2,4,1.0,None,Somewhat Sensitive,0,8,High,Desktop,Credit Card,7/10/24,True,False,Planned,Standard,5,4274.91,High
20-830-4758,35,Female,Middle,Widowed,High School,Middle,Luxury Goods,286.43,4,Mixed,1,3,0.0,High,Very Sensitive,2,3,None,Desktop,Cash,7/12/24,True,False,Wants-based,Express,14,1145.72,Not_High
84-337-1016,19,Genderfluid,High,Widowed,High School,High,Health Care,333.32,8,Online,1,5,0.0,Low,Very Sensitive,0,3,High,Smartphone,Credit Card,10/5/24,True,False,Planned,No Preference,3,2666.56,Not_High
09-346-4992,46,Bigender,High,Single,Master's,High,Electronics,223.47,9,Mixed,2,1,1.0,High,Somewhat Sensitive,0,2,None,Tablet,Debit Card,9/20/2024,True,True,Need-based,Standard,8,2011.23,Not_High
75-083-3608,23,Male,Middle,Divorced,Master's,Middle,Sports & Outdoors,414.83,2,Mixed,2,4,0.5,High,Somewhat Sensitive,2,4,High,Desktop,Credit Card,7/16/2024,False,False,Planned,Express,8,829.66,Not_High
29-779-7209,34,Female,High,Widowed,Master's,High,Books,391.38,5,In-Store,5,2,2.0,Low,Not Sensitive,0,7,Low,Tablet,Other,4/2/24,False,False,Need-based,No Preference,8,1956.9,Not_High
12-409-5166,48,Male,Middle,Divorced,Bachelor's,High,Furniture,368.4,11,Online,2,5,1.0,High,Not Sensitive,0,3,High,Desktop,Credit Card,6/21/2024,False,False,Need-based,No Preference,13,4052.3999999999996,High
07-024-4995,27,Bigender,Middle,Widowed,High School,Middle,Furniture,328.36,11,In-Store,1,4,2.0,High,Very Sensitive,0,4,None,Tablet,Cash,3/11/24,False,True,Wants-based,Express,4,3611.96,High
74-478-5950,37,Female,Middle,Divorced,Bachelor's,Middle,Home Appliances,424.39,9,Mixed,3,1,1.0,High,Somewhat Sensitive,0,7,Low,Smartphone,Credit Card,2/26/2024,True,False,Wants-based,No Preference,13,3819.5099999999998,High
31-395-1286,47,Male,High,Married,High School,High,Health Supplements,197.12,10,In-Store,4,4,0.0,Low,Somewhat Sensitive,1,1,Medium,Tablet,Other,6/14/2024,True,True,Wants-based,Standard,10,1971.2,Not_High
60-838-4334,45,Male,High,Single,Bachelor's,High,Books,454.57,9,Mixed,2,5,1.0,Low,Somewhat Sensitive,0,1,Medium,Smartphone,Debit Card,3/24/2024,True,True,Wants-based,Express,1,4091.13,High
71-197-8227,37,Male,Middle,Divorced,High School,High,Electronics,298.38,4,Mixed,3,4,2.0,High,Very Sensitive,0,2,Low,Tablet,Cash,4/27/2024,False,True,Need-based,Standard,3,1193.52,Not_High
15-530-3861,36,Male,High,Divorced,High School,High,Clothing,111.7,6,Online,4,5,0.0,Medium,Somewhat Sensitive,2,5,High,Tablet,Credit Card,11/7/24,False,False,Planned,Standard,7,670.2,Not_High
30-567-4471,34,Male,Middle,Married,Bachelor's,Middle,Clothing,373.69,10,Online,3,2,2.0,Medium,Not Sensitive,1,8,None,Tablet,Credit Card,12/4/24,False,True,Impulsive,Express,14,3736.9,High
04-465-1819,37,Male,High,Widowed,Master's,Middle,Jewelry & Accessories,354.87,5,In-Store,1,1,0.0,None,Not Sensitive,2,4,None,Desktop,Cash,4/18/2024,False,True,Planned,Express,12,1774.35,Not_High
69-692-0614,18,Female,Middle,Widowed,Bachelor's,High,Mobile Accessories,214.48,2,Online,4,2,2.0,None,Very Sensitive,1,3,None,Tablet,Cash,4/21/2024,True,True,Wants-based,Express,2,428.96,Not_High
12-839-8066,20,Male,High,Divorced,Bachelor's,Middle,Software & Apps,399.58,6,In-Store,3,4,0.0,None,Very Sensitive,1,8,Low,Tablet,Other,9/25/2024,True,False,Need-based,Standard,7,2397.48,Not_High
05-465-8765,27,Female,High,Widowed,High School,Middle,Luxury Goods,380.99,7,Mixed,1,2,1.0,Low,Somewhat Sensitive,0,1,Medium,Desktop,Cash,12/9/24,True,True,Need-based,No Preference,8,2666.9300000000003,Not_High
81-580-3810,36,Male,Middle,Married,High School,High,Food & Beverages,79.0,10,Online,1,2,1.0,Medium,Very Sensitive,2,6,Low,Smartphone,Cash,9/14/2024,False,True,Planned,Standard,7,790.0,Not_High
74-353-6312,46,Female,Middle,Married,Bachelor's,Middle,Groceries,113.88,2,Online,5,2,2.0,Medium,Not Sensitive,2,4,High,Tablet,PayPal,3/29/2024,False,False,Wants-based,Express,9,227.76,Not_High
78-824-1887,26,Male,Middle,Married,High School,Middle,Travel & Leisure (Flights,121.57,4,Mixed,1,5,0.0,High,Not Sensitive,0,4,High,Desktop,Other,6/6/24,False,True,Impulsive,No Preference,13,486.28,Not_High
31-218-0024,21,Female,High,Divorced,High School,Middle,Health Supplements,215.54,11,Online,3,1,2.0,Low,Somewhat Sensitive,2,6,High,Desktop,Credit Card,4/8/24,True,True,Planned,No Preference,10,2370.94,Not_High
15-711-4107,43,Male,High,Married,Bachelor's,High,Furniture,87.03,10,Mixed,1,1,0.0,Low,Very Sensitive,1,5,High,Desktop,PayPal,8/11/24,False,True,Need-based,No Preference,7,870.3,Not_High
76-672-1193,19,Male,High,Divorced,High School,High,Travel & Leisure (Flights,111.75,4,In-Store,1,4,0.0,High,Not Sensitive,1,6,High,Tablet,Debit Card,10/10/24,False,True,Impulsive,Standard,8,447.0,Not_High
46-503-5589,41,Female,High,Widowed,Master's,High,Office Supplies,136.2,2,Mixed,3,2,2.0,Low,Not Sensitive,0,1,High,Tablet,PayPal,6/15/2024,True,True,Need-based,Express,9,272.4,Not_High
87-499-6916,48,Male,Middle,Married,High School,Middle,Food & Beverages,439.31,4,In-Store,3,2,1.0,Medium,Very Sensitive,0,6,Medium,Smartphone,Debit Card,8/11/24,False,True,Wants-based,No Preference,7,1757.24,Not_High
30-520-8656,19,Female,Middle,Married,Bachelor's,Middle,Health Care,194.93,9,Online,4,4,1.0,High,Somewhat Sensitive,0,4,None,Tablet,Other,3/28/2024,True,True,Impulsive,No Preference,5,1754.3700000000001,Not_High
36-323-3504,29,Male,Middle,Widowed,Master's,High,Food & Beverages,377.67,8,Online,5,3,0.0,None,Very Sensitive,2,1,High,Desktop,PayPal,5/13/2024,True,False,Need-based,No Preference,14,3021.36,High
93-810-4051,26,Agender,High,Single,Master's,High,Beauty & Personal Care,108.61,10,In-Store,3,2,0.0,None,Very Sensitive,0,3,Low,Smartphone,Cash,11/23/2024,True,True,Need-based,No Preference,14,1086.1,Not_High
66-515-3648,20,Female,Middle,Married,Bachelor's,Middle,Health Care,366.77,7,Mixed,4,3,2.0,Low,Not Sensitive,0,9,None,Smartphone,Debit Card,9/18/2024,False,False,Impulsive,Standard,1,2567.39,Not_High
09-216-1957,31,Female,High,Divorced,Master's,Middle,Jewelry & Accessories,178.04,5,In-Store,5,1,2.0,Medium,Somewhat Sensitive,0,5,High,Tablet,Credit Card,7/16/2024,False,False,Need-based,No Preference,12,890.1999999999999,Not_High
23-253-2565,23,Female,High,Divorced,High School,High,Toys & Games,461.09,8,Online,4,1,0.0,Medium,Somewhat Sensitive,0,4,Medium,Smartphone,Debit Card,8/3/24,True,False,Need-based,No Preference,8,3688.72,High
74-509-4985,19,Female,High,Single,High School,Middle,Hotels,211.16,5,In-Store,2,3,1.0,High,Very Sensitive,0,3,None,Smartphone,PayPal,6/28/2024,False,False,Planned,Standard,2,1055.8,Not_High
05-857-1572,23,Female,Middle,Widowed,Bachelor's,High,Animal Feed,421.95,8,Mixed,3,5,0.0,Medium,Not Sensitive,1,1,None,Smartphone,Other,3/18/2024,False,True,Need-based,No Preference,7,3375.6,High
26-521-8328,49,Female,Middle,Divorced,Bachelor's,High,Furniture,378.59,5,Online,2,1,0.0,None,Somewhat Sensitive,0,4,High,Desktop,Other,10/15/2024,False,False,Wants-based,No Preference,14,1892.9499999999998,Not_High
31-147-6197,23,Non-binary,High,Divorced,High School,High,Office Supplies,268.93,2,Mixed,5,5,1.0,Medium,Very Sensitive,1,3,None,Tablet,Debit Card,11/23/2024,False,False,Impulsive,Express,8,537.86,Not_High
90-093-0469,42,Male,Middle,Divorced,Bachelor's,High,Health Care,444.87,11,Online,5,4,0.0,Medium,Not Sensitive,1,8,Low,Desktop,Other,11/29/2024,False,False,Wants-based,No Preference,7,4893.57,High
38-935-1865,18,Female,High,Widowed,Bachelor's,High,Beauty & Personal Care,160.82,7,In-Store,3,1,1.0,High,Somewhat Sensitive,0,1,High,Smartphone,Cash,7/9/24,True,True,Wants-based,No Preference,3,1125.74,Not_High
75-953-8663,35,Male,High,Single,Master's,Middle,Hotels,494.18,6,Mixed,4,5,1.0,Medium,Not Sensitive,1,2,None,Desktop,Cash,8/3/24,False,False,Need-based,Standard,14,2965.08,Not_High
38-478-2681,22,Male,Middle,Single,Bachelor's,Middle,Home Appliances,177.05,5,Online,3,1,1.0,None,Somewhat Sensitive,2,1,Low,Tablet,Cash,12/4/24,True,True,Impulsive,Standard,1,885.25,Not_High
70-895-5298,28,Female,Middle,Married,Master's,High,Food & Beverages,450.66,7,In-Store,2,5,0.0,High,Somewhat Sensitive,2,4,Medium,Tablet,Credit Card,6/13/2024,False,True,Need-based,No Preference,9,3154.6200000000003,High
02-653-5884,42,Female,High,Married,Bachelor's,Middle,Arts & Crafts,164.27,6,Online,5,3,2.0,High,Not Sensitive,2,7,Low,Desktop,PayPal,7/13/2024,True,False,Wants-based,No Preference,14,985.6200000000001,Not_High
11-719-8800,37,Female,Middle,Widowed,Master's,High,Food & Beverages,346.36,12,Mixed,4,5,0.0,Medium,Somewhat Sensitive,0,7,Medium,Smartphone,Credit Card,9/4/24,False,False,Need-based,Standard,14,4156.32,High
59-355-5251,33,Female,Middle,Widowed,High School,High,Animal Feed,377.77,9,Mixed,4,2,1.0,Medium,Not Sensitive,1,5,Medium,Tablet,Credit Card,8/26/2024,True,True,Impulsive,Standard,3,3399.93,High
82-572-9091,46,Female,Middle,Widowed,High School,Middle,Travel & Leisure (Flights,163.41,2,In-Store,5,5,2.0,Low,Not Sensitive,1,8,High,Desktop,Other,2/25/2024,True,True,Need-based,Express,4,326.82,Not_High
86-044-1071,30,Female,Middle,Divorced,Master's,Middle,Hotels,467.58,10,Mixed,1,2,0.0,None,Somewhat Sensitive,1,6,Low,Desktop,PayPal,4/15/2024,True,True,Wants-based,Standard,7,4675.8,High
08-733-0300,39,Female,Middle,Widowed,Bachelor's,High,Books,247.51,10,Mixed,2,1,2.0,Low,Somewhat Sensitive,1,8,Low,Tablet,Credit Card,7/1/24,True,False,Impulsive,Standard,2,2475.1,Not_High
70-108-1493,25,Female,Middle,Single,High School,High,Office Supplies,365.1,3,In-Store,2,3,0.0,None,Not Sensitive,1,3,High,Desktop,Debit Card,8/30/2024,False,True,Wants-based,No Preference,1,1095.3000000000002,Not_High
46-230-8307,38,Female,High,Single,Master's,Middle,Health Care,485.42,5,Online,1,2,2.0,High,Somewhat Sensitive,1,6,High,Desktop,Other,11/13/2024,True,False,Wants-based,No Preference,4,2427.1,Not_High
74-431-0242,41,Female,Middle,Widowed,Bachelor's,High,Health Care,250.54,4,In-Store,3,3,1.0,High,Not Sensitive,2,10,None,Desktop,Credit Card,12/27/2024,False,False,Wants-based,No Preference,3,1002.16,Not_High
78-272-6417,49,Female,Middle,Divorced,High School,High,Jewelry & Accessories,163.14,5,Mixed,5,4,0.0,Low,Somewhat Sensitive,1,2,None,Desktop,Debit Card,8/7/24,True,True,Planned,No Preference,1,815.6999999999999,Not_High
13-792-4356,21,Male,High,Divorced,Bachelor's,Middle,Gardening & Outdoors,162.31,8,In-Store,5,1,1.0,High,Very Sensitive,1,2,Medium,Tablet,Credit Card,10/5/24,False,False,Need-based,No Preference,11,1298.48,Not_High
04-563-9091,37,Male,Middle,Widowed,Master's,High,Office Supplies,328.21,7,Mixed,5,5,2.0,Low,Not Sensitive,2,2,Low,Smartphone,Credit Card,2/14/2024,False,False,Need-based,No Preference,12,2297.47,Not_High
79-592-5396,30,Female,High,Married,Master's,High,Sports & Outdoors,268.59,4,Online,3,3,1.0,High,Very Sensitive,1,1,Medium,Desktop,Debit Card,4/5/24,True,True,Need-based,Standard,3,1074.36,Not_High
39-952-4459,18,Female,High,Divorced,High School,High,Electronics,257.37,7,Online,3,3,0.0,Medium,Very Sensitive,2,5,Medium,Smartphone,PayPal,2/1/24,True,False,Wants-based,Express,13,1801.5900000000001,Not_High
67-935-7964,41,Female,Middle,Single,High School,High,Office Supplies,205.49,4,In-Store,5,3,2.0,Low,Somewhat Sensitive,2,2,High,Tablet,Cash,11/9/24,True,False,Need-based,Express,11,821.96,Not_High
